new_customer,application_date,income_verification,language,date_of_birth,gender,country,loan_amount,county,city,use_of_loan,education,marital_status,nr_dependants,employment_status,employment_duration,employment_position,work_experience,occupation,home_ownership,income_from_employer,income_from_pension,income_from_family_allowance,income_from_social_welfare,income_from_leave_pay,income_from_child_support,income_other,nr_debt_items,total_debt,credit_score_1,credit_score_2,credit_score_3,credit_score_4,nr_previous_loans,amount_previous_loans,previous_repayments,previous_early_repayments,previous_early_repayments_count,default
1,2013-06-10 16:40:39,unverified,estonian,1951-11-25,female,EE,319.5582,HARJU,TALLINN,other,vocational,married,0.0,fully,UpTo3Years,klienditeenindaja,MoreThan25Years,retail,,6000.0,0.0,0.0,0.0,0.0,0.0,4500.0,0,0.0,,,,,1,83.0852,0.0,0.0,0,0
0,2013-06-09 15:48:57,unverified,estonian,1964-11-04,female,EE,191.7349,IDA-VIRU,KOHTLA-JARVE,other,higher,divorced,0.0,fully,MoreThan5Years,Õppealajuhataja lasteaias,MoreThan25Years,education,,8300.0,0.0,0.0,0.0,0.0,0.0,2500.0,0,0.0,,,,,2,255.6467,258.6256,0.0,0,0
1,2013-06-04 19:12:29,unverified,estonian,1954-11-12,female,EE,319.5582,PÄRNU,PÄRNU,home_improvement,secondary,married,0.0,fully,UpTo4Years,teenindaja,MoreThan25Years,catering,,5000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,0,0.0,0.0,0.0,0,1
1,2013-06-12 12:01:20,unverified,estonian,1990-03-28,female,EE,127.8233,HARJU,PALDISKI,loan_consolidation,basic,single,1.0,,UpTo2Years,juhtmekoitja,2To5Years,other,,11000.0,0.0,0.0,0.0,0.0,0.0,600.0,0,0.0,,,,,1,134.2144,0.0,0.0,0,0
1,2013-06-09 10:17:13,unverified,estonian,1987-09-29,female,EE,319.5582,TARTU,TARTU,vehicle,secondary,cohabitant,0.0,fully,UpTo2Years,klienditeenindaja,5To10Years,retail,,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,1,146.9966,0.0,0.0,0,1
1,2013-06-04 17:39:56,unverified,estonian,1990-10-09,male,EE,300.3847,HARJU,TALLINN,other,secondary,single,0.0,partially,UpTo2Years,spordianalüütik,2To5Years,telecom,,7500.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,3,338.7324,0.0,0.0,0,1
1,2013-06-08 09:52:55,unverified,estonian,1965-07-04,female,EE,191.7349,JÕGEVAMAA,TABIVERE,other,secondary,married,0.0,fully,MoreThan5Years,voltija,MoreThan25Years,other,,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,1,223.6709,0.0,0.0,0,1
1,2013-07-18 18:00:11,unverified,estonian,1989-10-24,female,EE,191.7349,RAPLA,RAPLAMAA,vehicle,vocational,single,0.0,fully,UpTo4Years,klienditeenindaja,5To10Years,real_estate,,9000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,3,428.2235,0.0,0.0,0,1
1,2013-07-19 18:06:31,unverified,estonian,1989-10-24,female,EE,178.9526,RAPLA,RAPLAMAA,home_improvement,vocational,single,0.0,fully,UpTo4Years,klienditeenindaja,5To10Years,real_estate,,9000.0,0.0,0.0,0.0,0.0,0.0,2000.0,0,0.0,,,,,4,460.1753,0.0,0.0,0,1
1,2013-07-20 16:54:57,unverified,estonian,1975-07-08,female,EE,319.5582,HARJU,SAKU VALD,loan_consolidation,higher,married,3.0,fully,UpTo1Year,Müüja,15To25Years,other,,6200.0,0.0,0.0,0.0,0.0,0.0,1500.0,0,0.0,,,,,0,0.0,0.0,0.0,0,0
